cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
KOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO,232344.4,222556.5,224868.2,279558,326304,392422.8,434580.7,550375,499372.5,545067.2,471573,530789.2,445270.4,524796,540547.2,571771.2,598758.8,536295.6,501192,491654.4,519462.5,519304.5,506966.2,463327.8
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,1635506.5,1774859.4,1876393.8,2549394.3,2611811.7,2719674,2793977.6,2940029.7,3064465.8,3035080.4,3032458.8,3021496.2,3007276.2,2967461.4,2980610.8,3070350,3129214.8,3058291.6,3101706,3343050.9,3569227.2,3615312,3631287.3,3655389.6
LBY,207199.210893802,212950.86126044,226441.925208167,347256.798277771,244889.524396386,223911.940155652,233802.250380489,268298.527962514,303042.713269276,293711.614341379,284509.90793619,321176.805143504,321090.98092934,324725.808435,345465.228382758,458079.884934971,526943.550960783,650746.377613266,777942.897263077,709727.358051342,745675.482091726,770903.675016318,780862.697793251,797284.549532215
LCA,23079,45935.1,49200,28867.3,13591.8,17367.6,10823.2,11189,32448,12568.5,13165.3,11083.8,13055,15610,15098.1,16071.6,14880.8,13478.7,13554,14027.5,18950.7,16959.7,14640,14182.5
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,1093112.4,1359844.7,1357000.8,1089490.5,1071326.9,1155880,1036609,1048001.9,1097030,967615,874573.4,828852,943588.8,837542.4,831106.9,685633.4,578184.4,745308.9,513275,393036.6,385837.2,406003.2,400755.6,429431.8
LSO,450561.6,422464,506883,494076.8,459280.8,397800,360761,338129.2,3e+05,317342,267371,236740.8,210045,199939.2,226617.6,208704,192409.2,181766.2,188507.9,214302,212927.4,210884.7,211670.9,209583
LTU,966043.451684684,878778.765301446,781278.541354789,770134.865992378,653811.281138594,596775.213663619,485912.828649766,416084.072177232,367346.675064518,349936.970156482,329080.001570216,307687.305824526,290820.36546047,261132.193751442,275388.974512988,274906.693388918,252918.552567541,257866.354977268,237048.113861587,250634.041897738,250072.730710591,251151.345642574,246069.417013029,242414.255332367
LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVA,657637.803773925,596901.55696692,529092.260371762,519812.845128091,440708.639371445,401895.269488777,327226.405492049,280665.298993169,248173.24362057,236861.723252021,223180.09712639,208987.611618477,197838.286151245,177775.452784087,187435.574820454,186865.293289261,171337.533892041,173903.642162871,159020.80630965,167176.842606135,165984.45975987,165812.948267544,161754.966841309,158680.546667456
MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,305810,306411,301032.6,259642.8,247467.8,238063.8,209909.2,184233.4,173783.5,150353,139358.7,108434.7,83332.5,77795.2,54908.8,55686.4,56443.2,50036,50668.8,47625.5,48192.3,48747.4,49288.2,49814.7
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,4024978.1,3902607.8,3720453.9,3538690.4,3576511,3687674.7,2559952,2209305.6,2353708.8,2107392,2023300.5,1914966.9,1921298.4,1713090.4,1821732,1692675.8,1827000,1818493.9,1762684.2,1804231,1773143.4,1793038.5,1700166,1710507.7
